model,uncertainty_type,dataset,unlabeled_size,auroc
llama3,lexicalsimilarity,trivia_qa,1000,0.8407890236022955
llama3,lexicalsimilarity,trivia_qa,1100,0.8421192657063585
llama3,lexicalsimilarity,trivia_qa,1200,0.8403234388658736
llama3,lexicalsimilarity,trivia_qa,1300,0.8385751206719623
llama3,lexicalsimilarity,trivia_qa,1400,0.8470696666793356
llama3,lexicalsimilarity,trivia_qa,1500,0.8580726692257991
llama3,lexicalsimilarity,trivia_qa,1600,0.8490935350233741
llama3,lexicalsimilarity,trivia_qa,1700,0.8496351335943142
llama3,lexicalsimilarity,trivia_qa,1800,0.8484664208886017
llama3,lexicalsimilarity,trivia_qa,1900,0.8506803238189351
llama3,lexicalsimilarity,trivia_qa,2000,0.8464805594618221
llama3,lexicalsimilarity,trivia_qa,2100,0.8515164759986318
llama3,lexicalsimilarity,trivia_qa,2200,0.8429364144274258
llama3,lexicalsimilarity,trivia_qa,2300,0.8473167116415188
llama3,lexicalsimilarity,trivia_qa,2400,0.8462050093116948
llama3,lexicalsimilarity,trivia_qa,2500,0.8476397704382198
llama3,lexicalsimilarity,trivia_qa,2600,0.8530082475010452
llama3,lexicalsimilarity,trivia_qa,2700,0.8546425449431798
llama3,lexicalsimilarity,trivia_qa,2800,0.8559442818592984
llama3,lexicalsimilarity,trivia_qa,2900,0.8445279540876439
llama3,lexicalsimilarity,trivia_qa,3000,0.8546045380259206
llama3,lexicalsimilarity,trivia_qa,3100,0.8568754513321424
llama3,lexicalsimilarity,trivia_qa,3200,0.8498726768271826
llama3,lexicalsimilarity,trivia_qa,3300,0.8498726768271826
llama3,lexicalsimilarity,trivia_qa,3400,0.8498726768271826
llama3,lexicalsimilarity,trivia_qa,3500,0.8498726768271826
llama3,lexicalsimilarity,trivia_qa,3600,0.8498726768271826
llama3,lexicalsimilarity,trivia_qa,3700,0.8498726768271826
llama3,lexicalsimilarity,trivia_qa,3800,0.8498726768271826
llama3,lexicalsimilarity,trivia_qa,3900,0.8498726768271826
llama3,lexicalsimilarity,coqa,100,0.7699770040212863
llama3,lexicalsimilarity,coqa,200,0.7846474752582533
llama3,lexicalsimilarity,coqa,300,0.7837384719111945
llama3,lexicalsimilarity,coqa,400,0.7892948301187123
llama3,lexicalsimilarity,coqa,500,0.7807345469431
llama3,lexicalsimilarity,coqa,600,0.7918773628067134
llama3,lexicalsimilarity,coqa,700,0.7795064894411134
llama3,lexicalsimilarity,coqa,800,0.7781158949168052
llama3,lexicalsimilarity,coqa,900,0.7840816056249849
llama3,lexicalsimilarity,coqa,1000,0.7771045534445808
llama3,lexicalsimilarity,coqa,1100,0.7847558332731344
llama3,lexicalsimilarity,coqa,1200,0.7860982686797178
llama3,lexicalsimilarity,coqa,1300,0.7888433383900408
llama3,lexicalsimilarity,coqa,1400,0.7900473163331647
llama3,lexicalsimilarity,coqa,1500,0.7765988827084687
llama3,lexicalsimilarity,coqa,1600,0.7817759878639022
llama3,lexicalsimilarity,coqa,1700,0.7740885886970551
llama3,lexicalsimilarity,coqa,1800,0.7811077801054684
llama3,lexicalsimilarity,coqa,1900,0.7805057911339064
llama3,lexicalsimilarity,coqa,2000,0.7844969780153627
llama3,lexicalsimilarity,coqa,2100,0.7768938573045342
llama3,lexicalsimilarity,coqa,2200,0.782907727130439
llama3,lexicalsimilarity,coqa,2300,0.7761534108695128
llama3,lexicalsimilarity,coqa,2400,0.7883858267716535
llama3,lexicalsimilarity,coqa,2500,0.7847558332731344
llama3,lexicalsimilarity,coqa,2600,0.7834856365431386
llama3,lexicalsimilarity,coqa,2700,0.779702135856871
llama3,lexicalsimilarity,coqa,2800,0.7828625779575717
llama3,lexicalsimilarity,coqa,2900,0.7816917094078836
llama3,lexicalsimilarity,coqa,3000,0.783004045365889
llama3,lexicalsimilarity,coqa,3100,0.7708197885814732
llama3,lexicalsimilarity,coqa,3200,0.7841056851838474
llama3,lexicalsimilarity,coqa,3300,0.7913415926220231
llama3,lexicalsimilarity,coqa,3400,0.783130463049917
llama3,lexicalsimilarity,coqa,3500,0.7842742420958848
llama3,lexicalsimilarity,coqa,3600,0.7820589226805365
llama3,lexicalsimilarity,coqa,3700,0.7820589226805365
llama3,lexicalsimilarity,coqa,3800,0.7820589226805365
llama3,lexicalsimilarity,coqa,3900,0.7820589226805365
llama3,montecarlosequenceentropy,trivia_qa,100,0.762532780966136
llama3,montecarlosequenceentropy,trivia_qa,200,0.7647941925430429
llama3,montecarlosequenceentropy,trivia_qa,300,0.8238094333168636
llama3,montecarlosequenceentropy,trivia_qa,400,0.8066588119037665
llama3,montecarlosequenceentropy,trivia_qa,500,0.8156284443768766
llama3,montecarlosequenceentropy,trivia_qa,600,0.820027745049599
